#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200522   16:09:18      0       1494     G     0     0     0     0   Xorg           
 20200522   16:09:18      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:09:18      0       2154     G     4     2     0     0   Xorg           
 20200522   16:09:18      0       2380     G     2     0     0     0   gnome-shell    
 20200522   16:09:18      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:09:18      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:09:18      0       3233     G     0     0     0     0   firefox        
 20200522   16:09:18      0       3287     G     0     0     0     0   firefox        
 20200522   16:09:18      0       4227     G     0     0     0     0   firefox        
 20200522   16:09:18      0       7358     G     0     0     0     0   firefox        
 20200522   16:09:18      0       8094     G     0     0     0     0   firefox        
 20200522   16:09:18      0       9005     G     0     0     0     0   firefox        
 20200522   16:09:19      0       1494     G     0     0     0     0   Xorg           
 20200522   16:09:19      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:09:19      0       2154     G     2     0     0     0   Xorg           
 20200522   16:09:19      0       2380     G     3     1     0     0   gnome-shell    
 20200522   16:09:19      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:09:19      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:09:19      0       3233     G     0     0     0     0   firefox        
 20200522   16:09:19      0       3287     G     0     0     0     0   firefox        
 20200522   16:09:19      0       4227     G     0     0     0     0   firefox        
 20200522   16:09:19      0       7358     G     0     0     0     0   firefox        
 20200522   16:09:19      0       8094     G     0     0     0     0   firefox        
 20200522   16:09:19      0       9005     G     0     0     0     0   firefox        
 20200522   16:09:20      0       1494     G     0     0     0     0   Xorg           
 20200522   16:09:20      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:09:20      0       2154     G    10     3     0     0   Xorg           
 20200522   16:09:20      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:09:20      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:09:20      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:09:20      0       3233     G     0     0     0     0   firefox        
 20200522   16:09:20      0       3287     G     0     0     0     0   firefox        
 20200522   16:09:20      0       4227     G     0     0     0     0   firefox        
 20200522   16:09:20      0       7358     G     0     0     0     0   firefox        
 20200522   16:09:20      0       8094     G     0     0     0     0   firefox        
 20200522   16:09:20      0       9005     G     0     0     0     0   firefox        
 20200522   16:09:21      0       1494     G     0     0     0     0   Xorg           
 20200522   16:09:21      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:09:21      0       2154     G     1     0     0     0   Xorg           
 20200522   16:09:21      0       2380     G     0     0     0     0   gnome-shell    
